purchase_amount,day_of_week,time_of_day,store_type,online_or_inperson,is_valid
573,Thursday,8,Restaurant,In-Person,0
450,Monday,18,Grocery,In-Person,1
406,Tuesday,17,Grocery,Online,0
870,Friday,16,Restaurant,Online,0
874,Monday,19,Retail,Online,0
350,Wednesday,22,Restaurant,In-Person,1
834,Tuesday,2,Grocery,In-Person,1
18,Wednesday,16,Grocery,In-Person,0
342,Sunday,13,Restaurant,Online,0
706,Saturday,1,Retail,In-Person,0
633,Thursday,11,Restaurant,Online,1
890,Friday,16,Retail,In-Person,0
915,Saturday,3,Grocery,In-Person,0
151,Thursday,23,Restaurant,In-Person,0
169,Saturday,16,Retail,In-Person,1
949,Monday,1,Retail,In-Person,1
408,Wednesday,2,Grocery,In-Person,1
298,Sunday,22,Restaurant,Online,1
624,Thursday,12,Grocery,Online,0
771,Saturday,13,Restaurant,In-Person,1
228,Tuesday,18,Restaurant,Online,0
58,Wednesday,13,Online,In-Person,1
625,Tuesday,20,Retail,In-Person,1
130,Wednesday,16,Retail,In-Person,1
269,Saturday,20,Restaurant,Online,1
749,Thursday,7,Online,Online,1
508,Thursday,15,Retail,In-Person,1
531,Monday,4,Online,Online,0
86,Saturday,8,Restaurant,In-Person,0
942,Thursday,12,Retail,In-Person,1
613,Saturday,20,Online,In-Person,1
300,Wednesday,3,Restaurant,Online,1
3,Monday,23,Online,Online,1
680,Monday,16,Restaurant,In-Person,1
777,Saturday,14,Retail,In-Person,0
585,Wednesday,20,Online,Online,0
843,Tuesday,15,Retail,In-Person,1
637,Thursday,5,Restaurant,In-Person,1
89,Thursday,12,Retail,Online,0
799,Tuesday,6,Restaurant,In-Person,1
784,Saturday,9,Retail,Online,1
566,Monday,14,Online,In-Person,0
714,Saturday,17,Online,Online,0
611,Wednesday,21,Restaurant,Online,0
698,Sunday,4,Restaurant,Online,1
810,Thursday,8,Online,Online,1
601,Sunday,22,Online,In-Person,0
589,Tuesday,20,Retail,In-Person,0
917,Monday,18,Restaurant,Online,1
413,Tuesday,16,Online,In-Person,0
493,Saturday,4,Restaurant,In-Person,0
170,Thursday,16,Grocery,Online,0
940,Saturday,0,Restaurant,In-Person,1
435,Saturday,7,Retail,In-Person,0
268,Wednesday,11,Restaurant,In-Person,0
111,Thursday,21,Grocery,In-Person,1
53,Wednesday,11,Retail,In-Person,1
519,Sunday,9,Retail,In-Person,0
730,Saturday,7,Restaurant,In-Person,1
57,Monday,12,Online,In-Person,1
995,Saturday,20,Retail,In-Person,0
894,Wednesday,17,Grocery,In-Person,0
379,Friday,14,Grocery,In-Person,1
43,Wednesday,20,Restaurant,Online,0
744,Friday,6,Restaurant,Online,1
87,Monday,14,Restaurant,In-Person,1
512,Wednesday,11,Retail,Online,1
803,Tuesday,13,Grocery,In-Person,1
783,Wednesday,9,Restaurant,In-Person,0
984,Saturday,9,Retail,Online,1
671,Tuesday,11,Retail,In-Person,0
813,Friday,19,Retail,Online,0
825,Sunday,13,Online,In-Person,0
318,Monday,12,Online,Online,0
921,Thursday,8,Online,Online,1
826,Saturday,10,Grocery,In-Person,0
161,Tuesday,11,Grocery,In-Person,1
894,Monday,4,Restaurant,Online,0
156,Tuesday,5,Online,Online,1
494,Wednesday,18,Restaurant,In-Person,0
18,Thursday,9,Retail,Online,0
435,Sunday,18,Restaurant,Online,0
717,Monday,18,Retail,In-Person,0
442,Friday,20,Restaurant,In-Person,0
204,Thursday,16,Restaurant,Online,0
954,Friday,19,Restaurant,Online,0
218,Saturday,10,Retail,In-Person,0
739,Monday,1,Online,In-Person,0
596,Wednesday,16,Grocery,In-Person,1
118,Wednesday,11,Online,In-Person,0
830,Tuesday,4,Grocery,In-Person,0
625,Wednesday,15,Restaurant,Online,1
723,Monday,5,Grocery,Online,0
656,Monday,4,Restaurant,In-Person,0
139,Sunday,11,Online,Online,1
883,Monday,19,Grocery,In-Person,0
769,Tuesday,18,Grocery,In-Person,1
342,Tuesday,15,Restaurant,In-Person,1
85,Thursday,16,Online,In-Person,1
984,Wednesday,17,Grocery,Online,0
97,Monday,15,Online,Online,0
729,Friday,17,Online,Online,0
873,Sunday,20,Grocery,Online,1
702,Monday,10,Online,In-Person,0
52,Wednesday,18,Online,In-Person,1
842,Tuesday,21,Retail,In-Person,0
98,Wednesday,15,Grocery,In-Person,1
637,Monday,22,Grocery,Online,1
309,Thursday,22,Restaurant,Online,1
317,Thursday,13,Online,Online,1
194,Thursday,13,Retail,In-Person,1
117,Monday,16,Grocery,In-Person,0
287,Sunday,0,Grocery,Online,1
593,Wednesday,2,Restaurant,In-Person,1
440,Monday,14,Grocery,In-Person,0
755,Tuesday,16,Restaurant,In-Person,0
234,Saturday,15,Online,Online,0
224,Friday,8,Retail,Online,0
565,Friday,2,Retail,Online,1
493,Thursday,20,Retail,In-Person,0
488,Tuesday,11,Retail,Online,0
985,Saturday,3,Restaurant,In-Person,0
184,Tuesday,22,Online,In-Person,1
124,Sunday,4,Restaurant,In-Person,0
764,Thursday,8,Retail,In-Person,1
202,Sunday,17,Restaurant,Online,1
271,Thursday,16,Grocery,In-Person,0
846,Thursday,15,Retail,In-Person,0
331,Saturday,1,Grocery,Online,1
455,Saturday,14,Grocery,Online,0
275,Saturday,21,Retail,In-Person,1
194,Monday,16,Restaurant,Online,0
936,Tuesday,17,Grocery,In-Person,0
265,Tuesday,21,Grocery,Online,0
258,Tuesday,10,Restaurant,In-Person,1
274,Saturday,3,Restaurant,Online,0
582,Wednesday,4,Restaurant,Online,1
259,Tuesday,17,Grocery,Online,0
100,Monday,19,Online,Online,0
591,Saturday,8,Retail,Online,0
633,Tuesday,1,Online,In-Person,1
240,Wednesday,21,Retail,In-Person,0
431,Wednesday,12,Restaurant,Online,0
574,Wednesday,11,Grocery,In-Person,1
322,Saturday,6,Retail,Online,1
342,Friday,2,Retail,Online,1
203,Thursday,21,Grocery,Online,1
401,Wednesday,1,Retail,Online,0
909,Tuesday,5,Retail,Online,1
133,Saturday,11,Grocery,In-Person,0
576,Tuesday,12,Online,Online,1
66,Sunday,12,Grocery,In-Person,1
220,Saturday,23,Retail,Online,0
369,Wednesday,18,Restaurant,Online,0
990,Friday,15,Online,Online,0
229,Monday,21,Retail,In-Person,0
945,Thursday,13,Restaurant,In-Person,1
782,Saturday,9,Retail,Online,0
307,Thursday,18,Online,Online,1
399,Friday,20,Grocery,Online,1
183,Saturday,18,Restaurant,In-Person,0
832,Wednesday,9,Retail,In-Person,1
361,Thursday,14,Retail,In-Person,1
335,Wednesday,13,Retail,Online,0
773,Monday,7,Online,In-Person,0
165,Sunday,16,Restaurant,In-Person,1
66,Friday,23,Retail,In-Person,1
114,Monday,9,Retail,Online,0
934,Saturday,8,Online,In-Person,0
780,Thursday,8,Restaurant,Online,1
363,Saturday,16,Online,In-Person,1
486,Tuesday,22,Online,In-Person,1
38,Wednesday,13,Grocery,In-Person,1
927,Tuesday,17,Retail,In-Person,1
879,Saturday,15,Restaurant,Online,0
136,Thursday,4,Retail,In-Person,1
672,Friday,13,Restaurant,Online,1
796,Wednesday,17,Online,Online,1
701,Thursday,18,Grocery,Online,0
643,Tuesday,16,Grocery,In-Person,1
667,Wednesday,20,Retail,Online,0
838,Wednesday,21,Online,Online,0
725,Thursday,7,Restaurant,In-Person,0
52,Wednesday,12,Grocery,Online,0
26,Wednesday,17,Online,In-Person,1
299,Friday,20,Restaurant,Online,0
348,Tuesday,3,Online,In-Person,0
173,Thursday,15,Grocery,In-Person,1
121,Thursday,5,Grocery,In-Person,0
262,Monday,4,Retail,In-Person,0
765,Sunday,20,Retail,Online,0
923,Sunday,7,Grocery,Online,0
71,Saturday,13,Retail,In-Person,1
763,Saturday,2,Online,Online,1
200,Sunday,3,Online,Online,0
384,Friday,22,Online,Online,1
658,Saturday,0,Retail,In-Person,0
309,Sunday,10,Retail,In-Person,1
176,Friday,23,Online,In-Person,0
634,Wednesday,21,Online,In-Person,0
476,Wednesday,4,Grocery,In-Person,1
687,Monday,12,Online,In-Person,0
493,Wednesday,17,Restaurant,Online,1
835,Tuesday,10,Grocery,Online,0
397,Wednesday,18,Online,In-Person,0
936,Wednesday,19,Grocery,In-Person,0
86,Sunday,20,Grocery,Online,1
632,Sunday,22,Online,Online,1
238,Sunday,6,Retail,In-Person,1
396,Thursday,16,Retail,Online,1
216,Wednesday,22,Online,Online,0
847,Saturday,1,Online,In-Person,0
927,Tuesday,0,Restaurant,In-Person,1
485,Monday,19,Retail,In-Person,1
886,Thursday,22,Retail,Online,1
248,Thursday,1,Grocery,In-Person,1
464,Saturday,21,Grocery,Online,1
757,Thursday,12,Retail,In-Person,1
8,Saturday,5,Online,Online,0
21,Sunday,17,Grocery,Online,0
513,Monday,18,Online,Online,1
806,Tuesday,8,Online,Online,1
840,Saturday,3,Online,In-Person,1
509,Tuesday,3,Grocery,Online,0
26,Wednesday,9,Retail,In-Person,1
814,Friday,13,Online,Online,1
767,Monday,20,Online,In-Person,1
192,Thursday,18,Online,Online,1
313,Monday,18,Grocery,In-Person,0
838,Tuesday,12,Online,Online,0
26,Sunday,18,Grocery,Online,0
597,Monday,16,Restaurant,Online,0
675,Thursday,9,Grocery,In-Person,1
1,Tuesday,5,Online,In-Person,1
331,Thursday,5,Restaurant,In-Person,0
941,Friday,6,Grocery,Online,1
448,Saturday,0,Restaurant,Online,0
685,Thursday,0,Online,Online,0
309,Thursday,9,Grocery,In-Person,1
390,Thursday,7,Grocery,Online,0
752,Tuesday,2,Grocery,In-Person,0
154,Sunday,8,Restaurant,Online,1
824,Saturday,7,Online,In-Person,0
310,Tuesday,3,Restaurant,Online,0
685,Tuesday,9,Grocery,Online,0
720,Sunday,13,Grocery,In-Person,0
333,Monday,1,Grocery,In-Person,1
822,Wednesday,11,Grocery,Online,0
594,Wednesday,10,Grocery,In-Person,1
31,Saturday,22,Retail,In-Person,1
768,Saturday,7,Restaurant,In-Person,1
817,Tuesday,14,Online,Online,1
830,Monday,14,Online,In-Person,1
556,Monday,21,Restaurant,In-Person,1
174,Wednesday,22,Grocery,In-Person,1
538,Tuesday,23,Restaurant,Online,0
141,Sunday,12,Online,Online,1
11,Sunday,0,Retail,In-Person,0
510,Thursday,21,Online,In-Person,0
114,Thursday,18,Online,Online,1
853,Friday,9,Grocery,In-Person,1
584,Tuesday,20,Retail,Online,0
437,Wednesday,6,Grocery,Online,1
905,Sunday,12,Retail,In-Person,1
17,Wednesday,18,Restaurant,Online,1
769,Monday,5,Grocery,Online,1
866,Tuesday,4,Grocery,Online,0
348,Sunday,23,Grocery,In-Person,1
579,Monday,0,Online,Online,1
494,Monday,4,Retail,Online,0
954,Sunday,20,Restaurant,Online,0
124,Monday,2,Retail,In-Person,0
162,Tuesday,16,Restaurant,In-Person,0
844,Friday,14,Online,Online,1
50,Tuesday,11,Restaurant,In-Person,1
614,Wednesday,4,Restaurant,Online,1
313,Tuesday,10,Grocery,Online,0
1,Wednesday,10,Retail,In-Person,1
673,Saturday,21,Restaurant,In-Person,1
306,Friday,3,Online,Online,0
454,Thursday,23,Grocery,In-Person,1
233,Friday,18,Restaurant,In-Person,1
720,Thursday,0,Online,In-Person,1
419,Wednesday,0,Retail,In-Person,1
774,Sunday,13,Retail,In-Person,0
977,Wednesday,8,Restaurant,In-Person,0
361,Tuesday,19,Restaurant,Online,1
329,Saturday,11,Restaurant,In-Person,0
